Time id,Material,Quantity,Total_Value,Material_Id
38,C04-400301,6,47070,32814
38,C24-700110,24,54627.84,1421
38,C29-500264,8,88273.04,12481
38,C29-700105,1,14440,1610
38,CB-LS01-0700,139,88821,25056
38,S06-010053,9,73800,6464
38,S10-020027,116,75397.39,7263
38,S23-170301,111,120978.9,30765
38,S23-240014,150,82446.74,8710
39,CB-LS01-0700,3,1917,25056
