Time id,Material,Quantity,Total_Value,Material_Id
37,C37-000235,30,121504.33,1663
38,C37-000235,14,56314.3,1663
25,C37-000236,10,39421.9,1664
26,C37-000236,18,71280.78,1664
27,C37-000236,5,19812.23,1664
28,C37-000236,8,32674,1664
29,C37-000236,15,61530.6,1664
30,C37-000236,25,104754.03,1664
31,C37-000236,22,93639.89,1664
32,C37-000236,22,93359.09,1664
33,C37-000236,32,137913.69,1664
34,C37-000236,16,68986.14,1664
35,C37-000236,15,65102.66,1664
36,C37-000236,34,146480.73,1664
37,C37-000236,27,117449.53,1664
38,C37-000236,17,73727.81,1664
25,C37-200170,4,93032.37,1692
26,C37-200170,5,115843.05,1692
27,C37-200170,2,46792.88,1692
29,C37-200170,4,93861.92,1692
30,C37-200170,4,93972.4,1692
31,C37-200170,4,93972.38,1692
32,C37-200170,3,69932.32,1692
33,C37-200170,5,116388.12,1692
34,C37-200170,2,46536.84,1692
35,C37-200170,4,93065.77,1692
36,C37-200170,7,162812.82,1692
37,C37-200170,2,46512.5,1692
38,C37-200170,8,186006.24,1692
25,C37-300106,23,87998.23,1715
26,C37-300106,18,69003.06,1715
27,C37-300106,14,53692.22,1715
28,C37-300106,13,49159.59,1715
29,C37-300106,25,93791.5,1715
30,C37-300106,11,40982,1715
31,C37-300106,16,59193.53,1715
32,C37-300106,17,62495.31,1715
33,C37-300106,11,40350.58,1715
34,C37-300106,12,43938.68,1715
35,C37-300106,12,43901.33,1715
36,C37-300106,14,51198.22,1715
37,C37-300106,8,29244.27,1715
38,C37-300106,7,25588.75,1715
25,C37-300108,23,73785.38,1716
26,C37-300108,18,57784.14,1716
27,C37-300108,14,44943.23,1716
28,C37-300108,13,41014.33,1716
29,C37-300108,25,78133.87,1716
30,C37-300108,11,34322.13,1716
31,C37-300108,16,49395.12,1716
32,C37-300108,17,52209.19,1716
33,C37-300108,11,33715.36,1716
34,C37-300108,12,36748.18,1716
35,C37-300108,12,36736.54,1716
36,C37-300108,14,42852.52,1716
37,C37-300108,8,24482.08,1716
38,C37-300108,7,21421.82,1716
25,C37-400135,1,44198.23,1732
26,C37-400135,1,44767.04,1732
27,C37-400135,8,358136.33,1732
29,C37-400135,2,89200.4,1732
30,C37-400135,4,178302.96,1732
31,C37-400135,1,44575.74,1732
32,C37-400135,3,133694.62,1732
33,C37-400135,1,44543.13,1732
34,C37-400135,3,133629.39,1732
36,C37-400135,5,186715.65,1732
37,C37-400135,3,133629.39,1732
38,C37-400135,1,43307.99,1732
25,C72-100398,2,141400,2600
26,C72-100398,2,141400,2600
27,C72-100398,2,141400,2600
29,C72-100398,2,141400,2600
31,C72-100398,1,70700,2600
32,C72-100398,3,212100,2600
33,C72-100398,1,70700,2600
34,C72-100398,1,70700,2600
35,C72-100398,1,70700,2600
36,C72-100398,5,353500,2600
37,C72-100398,1,70700,2600
25,C77-401591,75,94845.94,2865
26,C77-401591,78,93436.03,2865
27,C77-401591,66,77020.89,2865
28,C77-401591,32,39371.54,2865
29,C77-401591,47,58124.74,2865
30,C77-401591,40,49381.91,2865
31,C77-401591,43,53542.77,2865
32,C77-401591,72,88193.43,2865
33,C77-401591,48,59864.46,2865
34,C77-401591,37,48292.45,2865
35,C77-401591,39,51106.54,2865
36,C77-401591,46,60132.29,2865
37,C77-401591,108,139131.58,2865
38,C77-401591,79,103064.88,2865
25,C77-401592,75,91692.12,2866
26,C77-401592,78,90836.69,2866
27,C77-401592,66,74980.06,2866
28,C77-401592,32,38438.36,2866
29,C77-401592,48,57875.13,2866
30,C77-401592,39,46897.35,2866
31,C77-401592,45,54631.15,2866
32,C77-401592,69,81589.58,2866
33,C77-401592,52,60559.37,2866
34,C77-401592,37,42347.37,2866
35,C77-401592,39,44650.62,2866
36,C77-401592,46,52426.69,2866
37,C77-401592,108,121216.18,2866
38,C77-401592,79,89767.41,2866
25,C78-105698,104,69107.19,3282
26,C78-105698,84,55349.75,3282
27,C78-105698,153,100351.31,3282
28,C78-105698,53,35216.06,3282
29,C78-105698,101,66891.13,3282
30,C78-105698,80,52880.59,3282
31,C78-105698,116,78552.93,3282
32,C78-105698,100,69042.08,3282
33,C78-105698,99,65083.86,3282
34,C78-105698,88,55869.51,3282
35,C78-105698,117,74228.13,3282
36,C78-105698,123,78089.69,3282
37,C78-105698,90,57565.86,3282
38,C78-105698,95,61050.91,3282
39,C78-105698,1,666.74,3282
25,C97-000204,46,60125.22,5180
26,C97-000204,49,64046.43,5180
27,C97-000204,71,92801.97,5180
28,C97-000204,52,67967.64,5180
29,C97-000204,55,71888.85,5180
30,C97-000204,52,67967.64,5180
31,C97-000204,63,82345.41,5180
32,C97-000204,53,69274.71,5180
33,C97-000204,53,69274.71,5180
34,C97-000204,58,75810.06,5180
35,C97-000204,68,88880.76,5180
36,C97-000204,55,71888.85,5180
37,C97-000204,41,53589.87,5180
38,C97-000204,67,87573.69,5180
25,H08-101070 PC,10,93496.15,13739
26,H08-101070 PC,13,121365.01,13739
27,H08-101070 PC,6,55925.16,13739
28,H08-101070 PC,2,18611.9,13739
29,H08-101070 PC,2,18611.89,13739
30,H08-101070 PC,8,74402.83,13739
31,H08-101070 PC,7,65099.44,13739
32,H08-101070 PC,9,83674.72,13739
33,H08-101070 PC,9,83673.74,13739
35,H08-101070 PC,1,9297.01,13739
36,H08-101070 PC,1,9297.01,13739
37,H08-101070 PC,1,9297.01,13739
25,H21-100039 PC,29,59692.48,5913
26,H21-100039 PC,54,110861.73,5913
27,H21-100039 PC,49,100329.59,5913
28,H21-100039 PC,28,57650.97,5913
29,H21-100039 PC,51,105254.26,5913
30,H21-100039 PC,61,126205.41,5913
31,H21-100039 PC,23,47918.99,5913
32,H21-100039 PC,25,51425.14,5913
33,H21-100039 PC,24,49081.19,5913
34,H21-100039 PC,15,30497.83,5913
35,H21-100039 PC,21,43379.17,5913
36,H21-100039 PC,13,26838.01,5913
37,H21-100039 PC,11,22754.75,5913
38,H21-100039 PC,15,30899.68,5913
25,S02-060396,6,87054.6,6323
26,S02-060396,14,203127.4,6323
27,S02-060396,12,174109.2,6323
28,S02-060396,10,145091,6323
29,S02-060396,6,87054.6,6323
30,S02-060396,8,110250.4,6323
31,S02-060396,4,55125.2,6323
32,S02-060396,8,109474.08,6323
33,S02-060396,6,81970.42,6323
34,S02-060396,10,136617.34,6323
35,S02-060396,4,54646.94,6323
36,S02-060396,8,109284,6323
37,S02-060396,4,54640.62,6323
38,S02-060396,2,27320.3,6323
25,S06-130006,41,48731.37,6543
26,S06-130006,53,63150.03,6543
27,S06-130006,48,57191.13,6543
28,S06-130006,22,26212.12,6543
29,S06-130006,48,57205.19,6543
30,S06-130006,71,84658.56,6543
31,S06-130006,61,72764.58,6543
32,S06-130006,60,71598.59,6543
33,S06-130006,35,41767.87,6543
34,S06-130006,41,48928.76,6543
35,S06-130006,38,45348.98,6543
36,S06-130006,58,69217.2,6543
37,S06-130006,56,66830.4,6543
38,S06-130006,72,85923.39,6543
25,S12-150040,10,99377.2,7906
26,S12-150040,5,49689.95,7906
27,S12-150040,14,139131.81,7906
28,S12-150040,2,19875.99,7906
29,S12-150040,7,69566,7906
30,S12-150040,7,69566,7906
31,S12-150040,5,49689.98,7906
32,S12-150040,8,79504,7906
33,S12-150040,10,98729.98,7906
34,S12-150040,12,119256,7906
35,S12-150040,16,159008,7906
36,S12-150040,3,29814,7906
37,S12-150040,8,79504,7906
38,S12-150040,10,99380,7906
25,S12-160229,2,45363.24,7939
26,S12-160229,5,113408.09,7939
27,S12-160229,2,44179.51,7939
28,S12-160229,1,21892.47,7939
29,S12-160229,2,44583.47,7939
31,S12-160229,7,149632,7939
32,S12-160229,3,64128,7939
33,S12-160229,3,64128,7939
35,S12-160229,2,42752,7939
36,S12-160229,7,149632,7939
37,S12-160229,4,85504,7939
38,S12-160229,3,64128,7939
25,S12-160336,3,40200,14447
26,S12-160336,23,308200,14447
27,S12-160336,9,123975,14447
28,S12-160336,5,66762.39,14447
29,S12-160336,5,66081.45,14447
30,S12-160336,12,158595.42,14447
31,S12-160336,3,39648.85,14447
32,S12-160336,19,251109.42,14447
33,S12-160336,7,92513.99,14447
34,S12-160336,4,52865.14,14447
35,S12-160336,5,66081.43,14447
36,S12-160336,11,145379.13,14447
38,S12-160336,3,39648.85,14447
25,S12-160337,3,40200,14448
26,S12-160337,23,308200,14448
27,S12-160337,9,120600,14448
28,S12-160337,5,66529.7,14448
29,S12-160337,5,65824.25,14448
30,S12-160337,12,157978.2,14448
31,S12-160337,3,39494.55,14448
32,S12-160337,19,250132.15,14448
33,S12-160337,7,92153.94,14448
34,S12-160337,4,52659.38,14448
35,S12-160337,5,65824.23,14448
36,S12-160337,11,148516.17,14448
38,S12-160337,3,45048.86,14448
25,S23-100109,51,270350.96,8594
26,S23-100109,44,233243.96,8594
27,S23-100109,22,116622,8594
28,S23-100109,14,74383.6,8594
29,S23-100109,11,60176.6,8594
30,S23-100109,15,82059,8594
31,S23-100109,18,98699.41,8594
32,S23-100109,15,82283.49,8594
33,S23-100109,19,104185.7,8594
34,S23-100109,6,32958.1,8594
35,S23-100109,16,87888.26,8594
36,S23-100109,24,131975.1,8594
37,S23-100109,19,104726.29,8594
38,S23-100109,13,71666.86,8594
25,S31-020101,208,43264,9207
26,S31-020101,247,51376,9207
27,S31-020101,389,80834.98,9207
28,S31-020101,84,17445.12,9207
29,S31-020101,187,38863.88,9207
30,S31-020101,229,47629.45,9207
31,S31-020101,233,48464,9207
32,S31-020101,241,50128,9207
33,S31-020101,270,56160,9207
34,S31-020101,189,39312,9207
35,S31-020101,206,42848,9207
36,S31-020101,208,43264,9207
37,S31-020101,261,54288,9207
38,S31-020101,317,65936,9207
